Original	Filtered	
507	7	
605	46.2	
966	249.4	
1451	660	
1524	980.2	
1524	1024	
1524	1024	
1524	1024	
1524	1024	
1524	1024	
512	619.2	
682	80	
1337	444	
509	505.8	
507	8.2	
1524	413.8	
1320	942.4	
508	495.2	
507	7.6	
1524	413.8	
1300	934.4	
508	483.2	
507	7.6	
1524	413.8	
1293	931.6	
508	479	
508	8	
1524	414.4	
1285	928.4	
508	474.2	
507	7.6	
1524	413.8	
1524	1024	
509	618	
507	8.2	
507	7	
507	7	
508	7.4	
1524	414.4	
845	752.4	
508	210.2	
508	8	
1524	414.4	
509	618	
507	8.2	
1524	413.8	
1524	1024	
868	761.6	
508	224	
507	7.6	
1524	413.8	
509	618	
507	8.2	
1524	413.8	
1524	1024	
566	640.8	
507	42.4	
719	91.8	
1524	541	
887	769.2	
508	235.4	
530	16.8	
1524	427.6	
507	617.2	
508	7.4	
1524	414.4	
1524	1024	
540	630.4	
507	26.8	
798	123.4	
1524	588.4	
527	625.2	
507	19	
810	128.2	
1524	595.6	
1524	1024	
507	617.2	
507	7	
1524	413.8	
1060	838.4	
507	338.8	
508	7.4	
1524	414.4	
1371	962.8	
507	525.4	
507	7	
1524	413.8	
1034	828	
1030	532.4	
507	320.8	
937	179	
1524	671.8	
509	618	
507	8.2	
1314	329.8	
1524	898	
509	618	
508	8.6	
594	42.4	
1046	274.8	
508	330.8	
507	7.6	
1524	413.8	
1524	1024	
509	618	
507	8.2	
1524	413.8	
1524	1024	
550	634.4	
507	32.8	
909	167.8	
1524	655	
757	717.2	
507	157	
507	7	
1524	413.8	
509	618	
507	8.2	
1524	413.8	
1524	1024	
509	618	
508	8.6	
1524	414.4	
1524	1024	
1524	1024	
507	617.2	
507	7	
1144	261.8	
1524	796	
507	617.2	
508	7.4	
1524	414.4	
1524	1024	
536	628.8	
508	24.8	
1306	327.2	
1524	893.2	
1524	1024	
507	617.2	
508	7.4	
1104	246.4	
1524	772	
509	618	
508	8.6	
1524	414.4	
1524	1024	
509	618	
508	8.6	
1524	414.4	
1524	1024	
1524	1024	
509	618	
507	8.2	
1190	280.2	
1524	823.6	
509	618	
508	8.6	
1524	414.4	
1524	1024	
509	618	
508	8.6	
1524	414.4	
1524	1024	
896	772.8	
508	240.8	
507	7.6	
1524	413.8	
509	618	
508	8.6	
1524	414.4	
1524	1024	
874	764	
508	227.6	
507	7.6	
1524	413.8	
509	618	
508	8.6	
1524	414.4	
1524	1024	
864	760	
508	221.6	
508	8	
1524	414.4	
509	618	
508	8.6	
508	8	
508	8	
508	8	
1524	414.4	
653	675.6	
507	94.6	
877	155	
1524	635.8	
625	664.4	
508	78.2	
849	144.4	
1524	619	
550	634.4	
508	33.2	
744	102.4	
1524	556	
579	646	
508	50.6	
939	180.4	
1524	673	
606	656.8	
508	66.8	
923	174	
1524	663.4	
622	663.2	
508	76.4	
1033	218	
1524	729.4	
1179	886	
508	410.6	
507	7.6	
1524	413.8	
1101	854.8	
829	492.2	
508	200.6	
1524	414.4	
1524	1024	
1071	842.8	
507	345.4	
508	7.4	
1524	414.4	
1037	829.2	
508	325.4	
508	8	
1524	414.4	
1028	825.6	
507	319.6	
508	7.4	
1524	414.4	
1025	824.4	
508	318.2	
508	8	
1524	414.4	
1070	842.4	
507	344.8	
508	7.4	
1524	414.4	
978	805.6	
508	290	
508	8	
1524	414.4	
509	618	
507	8.2	
1524	413.8	
1524	1024	
1172	883.2	
508	406.4	
508	8	
1524	414.4	
928	785.6	
508	260	
507	7.6	
1524	413.8	
509	618	
507	8.2	
1486	398.6	
1524	1001.2	
901	774.8	
508	243.8	
507	7.6	
1524	413.8	
509	618	
507	8.2	
1524	413.8	
1524	1024	
865	760.4	
507	221.8	
507	7	
1524	413.8	
509	618	
507	8.2	
1524	413.8	
1524	1024	
851	754.8	
508	213.8	
507	7.6	
1524	413.8	
1198	893.6	
508	422	
507	7.6	
1524	413.8	
508	617.6	
508	8	
1524	414.4	
1524	1024	
977	805.2	
508	289.4	
508	8	
1524	414.4	
714	700	
507	131.2	
507	7	
1524	413.8	
1277	925.2	
507	469	
1280	316.2	
1524	877.6	
1524	1024	
509	618	
507	8.2	
1524	413.8	
1524	1024	
933	787.6	
507	262.6	
507	7	
1524	413.8	
1524	1024	
507	617.2	
508	7.4	
1524	414.4	
757	717.2	
508	157.4	
508	8	
1524	414.4	
509	618	
508	8.6	
1356	347.2	
1524	923.2	
509	618	
507	8.2	
1524	413.8	
1524	1024	
632	667.2	
507	82	
998	203.4	
1524	708.4	
662	679.2	
508	100.4	
507	7.6	
1524	413.8	
509	618	
507	8.2	
662	69	
1029	308.8	
507	320.2	
508	7.4	
1524	414.4	
591	650.8	
508	57.8	
1172	273.6	
1524	812.8	
1257	917.2	
508	457.4	
508	8	
1524	414.4	
1524	1024	
507	617.2	
508	7.4	
1524	414.4	
1524	1024	
542	631.2	
508	28.4	
1278	316	
1524	876.4	
1068	841.6	
507	343.6	
507	7	
1524	413.8	
1524	1024	
508	617.6	
508	8	
1524	414.4	
1524	1024	
556	636.8	
508	36.8	
1199	284.4	
1524	829	
960	798.4	
507	278.8	
507	7	
1524	413.8	
1524	1024	
507	617.2	
507	7	
1524	413.8	
900	774.4	
507	242.8	
508	7.4	
1524	414.4	
509	618	
508	8.6	
898	164	
1524	648.4	
509	618	
507	8.2	
1524	413.8	
1524	1024	
509	618	
508	8.6	
1439	380.4	
1524	973	
509	618	
507	8.2	
1524	413.8	
1524	1024	
1037	829.2	
508	325.4	
507	7.6	
1524	413.8	
867	761.2	
508	223.4	
507	7.6	
1524	413.8	
509	618	
508	8.6	
1524	414.4	
1524	1024	
860	758.4	
508	219.2	
508	8	
1524	414.4	
509	618	
508	8.6	
1524	414.4	
1524	1024	
870	762.4	
508	225.2	
508	8	
1524	414.4	
509	618	
508	8.6	
1524	414.4	
1524	1024	
842	751.2	
508	208.4	
508	8	
1524	414.4	
1212	899.2	
509	430.8	
507	8.2	
1524	413.8	
509	618	
508	8.6	
1524	414.4	
1524	1024	
876	764.8	
508	228.8	
508	8	
1524	414.4	
509	618	
508	8.6	
1524	414.4	
1524	1024	
840	750.4	
508	207.2	
508	8	
1524	414.4	
507	617.2	
508	7.4	
1524	414.4	
1524	1024	
783	727.6	
508	173	
581	37.2	
1524	458.2	
806	736.8	
508	186.8	
549	24.4	
1524	439	
1524	1024	
509	618	
508	8.6	
1524	414.4	
1489	1010	
509	597	
508	8.6	
1524	414.4	
1524	1024	
694	692	
508	119.6	
617	51.6	
1524	479.8	
668	681.6	
508	104	
651	65.2	
1524	500.2	
657	677.2	
508	97.4	
1393	362	
1524	945.4	
1299	934	
508	482.6	
508	8	
1524	414.4	
1261	918.8	
508	459.8	
508	8	
1524	414.4	
1328	945.6	
509	500.4	
508	8.6	
1524	414.4	
1524	1024	
509	618	
508	8.6	
1524	414.4	
1524	1024	
603	655.6	
508	65	
1485	398.8	
1524	1000.6	
1524	1024	
1035	828.4	
507	323.8	
507	7	
1524	413.8	
804	736	
507	185.2	
945	182.2	
1524	676.6	
1476	1004.8	
507	588.4	
507	7	
1524	413.8	
1524	1024	
1524	1024	
507	617.2	
508	7.4	
1524	414.4	
1233	907.6	
508	443	
508	8	
1524	414.4	
1403	975.6	
509	545.4	
507	8.2	
1524	413.8	
1310	938.4	
779	597.6	
507	170.2	
1524	413.8	
1524	1024	
1050	834.4	
508	333.2	
508	8	
1524	414.4	
1115	860.4	
508	372.2	
507	7.6	
1524	413.8	
951	794.8	
507	273.4	
507	7	
1524	413.8	
509	618	
508	8.6	
1524	414.4	
1524	1024	
1393	971.6	
509	539.4	
508	8.6	
1524	414.4	
1005	816.4	
508	306.2	
507	7.6	
1524	413.8	
959	798	
508	278.6	
508	8	
1524	414.4	
508	617.6	
507	7.6	
1524	413.8	
1524	1024	
1524	1024	
509	618	
508	8.6	
1246	303.2	
1524	857.2	
507	617.2	
508	7.4	
1524	414.4	
1524	1024	
509	618	
507	8.2	
1524	413.8	
1524	1024	
1524	1024	
509	618	
507	8.2	
1524	413.8	
1524	1024	
509	618	
507	8.2	
1524	413.8	
1524	1024	
945	792.4	
507	269.8	
590	40.2	
1524	463.6	
1524	1024	
507	617.2	
507	7	
1524	413.8	
1524	1024	
541	630.8	
508	27.8	
1524	414.4	
1524	1024	
1524	1024	
589	650	
508	56.6	
1524	414.4	
1524	1024	
1524	1024	
587	649.2	
507	55	
1524	413.8	
1524	1024	
1523	1023.6	
509	617.4	
508	8.6	
1524	414.4	
1524	1024	
771	722.8	
507	165.4	
507	7	
1524	413.8	
651	674.8	
507	93.4	
1524	413.8	
1524	1024	
1453	995.6	
507	574.6	
508	7.4	
1524	414.4	
1512	1019.2	
508	610.4	
508	8	
1524	414.4	
1524	1024	
1001	814.8	
536	315	
507	24.4	
1524	413.8	
1434	988	
509	564	
508	8.6	
1524	414.4	
1524	1024	
508	617.6	
507	7.6	
1464	389.8	
1524	988	
509	618	
507	8.2	
1524	413.8	
1524	1024	
726	704.8	
508	138.8	
828	136	
1524	606.4	
1344	952	
509	510	
508	8.6	
1524	414.4	
1328	945.6	
509	500.4	
508	8.6	
1524	414.4	
1318	941.6	
509	494.4	
508	8.6	
1524	414.4	
1310	938.4	
509	489.6	
508	8.6	
1524	414.4	
1286	928.8	
508	474.8	
508	8	
1524	414.4	
1271	922.8	
508	465.8	
507	7.6	
1524	413.8	
1524	1024	
1136	868.8	
508	384.8	
917	171.6	
1524	659.8	
1216	900.8	
508	432.8	
508	8	
1524	414.4	
1201	894.8	
508	423.8	
507	7.6	
1524	413.8	
1192	891.2	
508	418.4	
508	8	
1524	414.4	
1262	919.2	
508	460.4	
507	7.6	
1524	413.8	
1158	877.6	
508	398	
508	8	
1524	414.4	
1144	872	
508	389.6	
508	8	
1524	414.4	
1132	867.2	
507	382	
507	7	
1524	413.8	
1524	1024	
509	618	
508	8.6	
1524	414.4	
1524	1024	
558	637.6	
508	38	
1524	414.4	
1524	1024	
1524	1024	
544	632	
507	29.2	
1524	413.8	
1524	1024	
1524	1024	
528	625.6	
508	20	
1524	414.4	
1524	1024	
1524	1024	
522	623.2	
508	16.4	
1524	414.4	
1524	1024	
1524	1024	
564	640	
507	41.2	
1524	413.8	
1524	1024	
1524	1024	
760	718.4	
508	159.2	
1234	298.4	
1524	850	
1524	1024	
700	694.4	
508	123.2	
1189	280.4	
1524	823	
1524	1024	
773	723.6	
507	166.6	
815	130.2	
1524	598.6	
1021	822.8	
507	315.4	
508	7.4	
1524	414.4	
1005	816.4	
507	305.8	
507	7	
1524	413.8	
1524	1024	
507	617.2	
508	7.4	
1524	414.4	
1524	1024	
545	632.4	
508	30.2	
1524	414.4	
1524	1024	
1524	1024	
1413	979.6	
509	551.4	
603	46.6	
1524	471.4	
1373	963.6	
509	527.4	
507	8.2	
1524	413.8	
1016	820.8	
507	312.4	
508	7.4	
1524	414.4	
1006	816.8	
507	306.4	
508	7.4	
1524	414.4	
1524	1024	
507	617.2	
508	7.4	
1524	414.4	
1524	1024	
509	618	
508	8.6	
1524	414.4	
1524	1024	
901	774.8	
507	243.4	
507	7	
1524	413.8	
1524	1024	
507	617.2	
508	7.4	
1524	414.4	
877	765.2	
508	229.4	
507	7.6	
1524	413.8	
588	649.6	
508	56	
1031	217.2	
1524	728.2	
866	760.8	
507	222.4	
507	7	
1524	413.8	
651	674.8	
508	93.8	
1524	414.4	
1524	1024	
1524	1024	
508	617.6	
507	7.6	
1524	413.8	
1524	1024	
838	749.6	
507	205.6	
682	77	
1524	518.8	
838	749.6	
508	206	
737	99.6	
1524	551.8	
827	745.2	
508	199.4	
509	8.4	
1524	415	
509	618	
507	8.2	
1265	310.2	
1524	868.6	
509	618	
508	8.6	
1524	414.4	
1524	1024	
795	732.4	
508	180.2	
755	106.8	
1524	562.6	
1524	1024	
625	664.4	
507	77.8	
614	49.8	
1524	478	
509	618	
507	8.2	
1524	413.8	
1449	994	
509	573	
508	8.6	
1524	414.4	
1438	989.6	
507	565.6	
507	7	
1524	413.8	
1524	1024	
507	617.2	
508	7.4	
1524	414.4	
1524	1024	
742	711.2	
507	148	
680	76.2	
1524	517.6	
797	733.2	
507	181	
898	163.4	
1524	648.4	
1524	1024	
507	617.2	
508	7.4	
1524	414.4	
1524	1024	
968	801.6	
508	284	
904	166.4	
1524	652	
1508	1017.6	
1049	824.4	
508	332.6	
852	145.6	
1524	620.8	
1360	958.4	
509	519.6	
508	8.6	
1524	414.4	
1326	944.8	
508	498.8	
508	8	
1524	414.4	
1336	948.8	
509	505.2	
508	8.6	
1524	414.4	
1484	1008	
508	593.6	
508	8	
1524	414.4	
1524	1024	
734	708	
508	143.6	
812	129.6	
1524	596.8	
1436	988.8	
508	564.8	
508	8	
1524	414.4	
1492	1011.2	
509	598.8	
507	8.2	
1524	413.8	
1524	1024	
1049	834	
507	332.2	
661	68.6	
1524	506.2	
1524	1024	
635	668.4	
508	84.2	
1524	414.4	
1524	1024	
1524	1024	
651	674.8	
508	93.8	
1524	414.4	
1524	1024	
1524	1024	
660	678.4	
508	99.2	
1524	414.4	
1524	1024	
1524	1024	
601	654.8	
507	63.4	
1524	413.8	
1524	1024	
1524	1024	
551	634.8	
508	33.8	
1524	414.4	
1524	1024	
1524	1024	
509	618	
508	8.6	
1524	414.4	
1524	1024	
964	800	
508	281.6	
1156	267.2	
1524	803.2	
1524	1024	
856	756.8	
508	216.8	
1251	305.2	
1524	860.2	
1524	1024	
869	762	
508	224.6	
1173	274	
1524	813.4	
1524	1024	
732	707.2	
508	142.4	
1061	229.2	
1524	746.2	
1524	1024	
690	690.4	
508	117.2	
1044	222.4	
1524	736	
1524	1024	
743	711.6	
507	148.6	
1066	230.6	
1524	749.2	
1524	1024	
730	706.4	
508	141.2	
954	186.4	
1524	682	
1524	1024	
509	618	
508	8.6	
1524	414.4	
1524	1024	
633	667.6	
508	83	
1476	395.2	
1524	995.2	
