Original	Filtered
1524	1024
1524	1024
1524	1024
1481	1006.8
1295	906.6
1049	696.6
777	440.2
517	173
507	13
507	7
1524	413.8
960	798.4
508	279.2
1524	414.4
1524	1024
1524	1024
892	771.2
507	238
1317	331
1524	899.8
1412	979.2
966	733.6
507	282.4
1524	413.8
1524	1024
1524	1024
599	654
508	62.6
1524	414.4
1524	1024
1424	984
774	664
508	167.6
1524	414.4
1524	1024
1524	1024
663	679.6
508	101
1421	373.2
1524	962.2
1304	936
507	485.2
508	7.4
1524	414.4
1524	1024
509	618
507	8.2
1107	247
1524	773.8
675	684.4
508	108.2
1390	360.8
1524	943.6
1100	854.4
508	363.2
508	8
1524	414.4
1524	1024
550	634.4
507	32.8
702	85
1049	340.8
508	332.6
508	8
1524	414.4
1144	872
508	389.6
508	8
1524	414.4
1501	1014.8
1203	881.8
508	425
1025	214.8
1524	724.6
1524	1024
1212	899.2
508	430.4
507	7.6
1524	413.8
589	650
508	56.6
1475	394.8
1524	994.6
1524	1024
542	631.2
508	28.4
1508	408
1524	1014.4
1524	1024
923	783.6
574	283.4
1524	454
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1443	991.6
1524	975.4
1524	1024
1524	1024
845	752.4
837	341.8
1524	611.8
1524	1024
949	794
1053	490.6
1033	545
1041	536.2
1042	541.4
1041	541.6
1034	538.2
1033	533.6
1035	533.8
1041	537.4
1524	734.2
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1522	1023.2
961	797.6
1050	496.6
1033	543.2
1035	533.8
1034	534.6
1034	534
1035	534.4
1034	534.6
1035	534.4
1034	534.6
1121	568.8
1216	659
1168	696.8
1242	697.6
1365	791.2
1428	890.2
1481	949.2
1478	979.8
1524	996.4
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
1524	1024
740	710.4
1080	376
508	351.2
1524	414.4
1389	970
1370	881.4
507	524.8
507	7
507	7
508	7.4
507	7.6
507	7
508	7.4
508	8
911	169.2
947	425.4
507	271
898	163.4
1410	602.8
968	733.2
1048	500
1033	542
1036	534.2
1034	535.2
1181	592.8
508	411.8
1409	368.4
1453	926.6
1289	887.4
755	575.4
777	263.8
508	169.4
1524	414.4
1241	910.8
689	520.2
508	116.6
597	43.6
507	61
1228	295.4
953	618
1125	521.8
1081	607.4
508	351.8
1470	392.8
508	585.2
507	7.6
508	7.4
507	7.6
507	7
507	7
507	7
507	7
507	7
507	7
507	7
507	7
507	7
507	7
507	7
507	7
508	7.4
507	7.6
507	7
508	7.4
507	7.6
507	7
507	7
507	7
507	7
508	7.4
507	7.6
507	7
508	7.4
507	7.6
507	7
508	7.4
507	7.6
507	7
507	7
507	7
507	7
507	7
507	7
507	7
508	7.4
507	7.6
507	7
507	7
508	7.4
507	7.6
508	7.4
507	7.6
507	7
508	7.4
508	8
508	8
507	7.6
507	7
507	7
507	7
507	7
507	7
508	7.4
507	7.6
507	7
507	7
508	7.4
507	7.6
507	7
507	7
507	7
508	7.4
507	7.6
507	7
507	7
507	7
508	7.4
507	7.6
507	7
507	7
508	7.4
508	8
507	7.6
508	7.4
507	7.6
507	7
507	7
507	7
507	7
507	7
507	7
507	7
507	7
507	7
508	7.4
507	7.6
507	7
507	7
507	7
507	7
508	7.4
507	7.6
508	7.4
507	7.6
507	7
507	7
507	7
508	7.4
507	7.6
507	7
507	7
507	7
508	7.4
507	7.6
507	7
507	7
507	7
507	7
507	7
507	7
507	7
508	7.4
508	8
508	8
508	8
508	8
507	7.6
507	7
508	7.4
508	8
508	8
507	7.6
507	7
507	7
507	7
507	7
507	7
507	7
507	7
508	7.4
507	7.6
508	7.4
508	8
508	8
507	7.6
508	7.4
507	7.6
507	7
507	7
507	7
507	7
507	7
507	7
507	7
508	7.4
508	8
507	7.6
507	7
507	7
507	7
508	7.4
507	7.6
507	7
507	7
508	7.4
507	7.6
507	7
507	7
507	7
507	7
508	7.4
508	8
508	8
508	8
507	7.6
507	7
507	7
508	7.4
507	7.6
507	7
508	7.4
508	8
